layer,measurement,measurement_label,site,peak_abs_z,peak_z_ci_lower_abs,peak_timepoint,clinical_flagged_count,concordance_class,signal_score,rank_overall,rank_within_layer
microbial,K02494,outer membrane lipoprotein LolB,ORC,8.783431758309522,7.7177931046639445,R+82,0,idiosyncratic,7.7177931046639445,1322,744
microbial,K00768,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],NAC,7.313988789847484,6.429394577276729,R+1,0,concordant,7.7152734927320745,1323,575
microbial,K15270,S-adenosylmethionine uptake transporter,ORC,7.6888789950155925,6.428694594647117,R+82,0,concordant,7.714433513576539,1324,745
microbial,K07667,"two-component system, OmpR family, KDP operon response regulator KdpE",NAC,7.714666829914841,6.42514865445345,R+1,0,concordant,7.71017838534414,1325,576
microbial,K19092,toxin ParE1/3/4,ORC,7.725030369145208,6.4179204469127304,R+1,0,concordant,7.7015045362952765,1326,746
microbial,K00348,Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1],ORC,7.525422726131708,6.4169423565851345,R+82,0,concordant,7.700330827902161,1327,747
microbial,K00761,uracil phosphoribosyltransferase [EC:2.4.2.9],ORC,9.240066843753333,7.69929051972783,R+82,0,idiosyncratic,7.69929051972783,1328,748
microbial,K03470,ribonuclease HII [EC:3.1.26.4],NAC,7.735781167462066,6.405206259227588,R+1,0,concordant,7.6862475110731046,1329,577
microbial,K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],ORC,8.524321101845805,7.685271539492852,R+82,0,idiosyncratic,7.685271539492852,1330,749
microbial,K02906,large subunit ribosomal protein L3,ORC,9.187476792073642,7.675204025954606,R+82,0,idiosyncratic,7.675204025954606,1331,750
microbial,K07082,UPF0755 protein,NAC,7.576661202432001,6.393085790152199,R+1,0,concordant,7.671702948182638,1332,578
microbial,K01494,dCTP deaminase [EC:3.5.4.13],ORC,7.714795103962634,6.391442668589141,R+1,0,concordant,7.669731202306969,1333,751
microbial,K00939,adenylate kinase [EC:2.7.4.3],ORC,8.522992747933138,7.667679516099763,R+1,0,idiosyncratic,7.667679516099763,1334,752
microbial,K01698,porphobilinogen synthase [EC:4.2.1.24],ORC,9.159035981468357,7.665739047216806,R+82,0,idiosyncratic,7.665739047216806,1335,753
microbial,K07447,putative pre-16S rRNA nuclease [EC:3.1.-.-],ORC,7.716353724721335,6.3801950880342355,R+1,0,concordant,7.656234105641082,1336,754
microbial,K02071,D-methionine transport system ATP-binding protein,ORC,9.00679428196842,7.655329335064165,R+82,0,idiosyncratic,7.655329335064165,1337,755
microbial,K02470,DNA gyrase subunit B [EC:5.6.2.2],ORC,9.633913887341254,9.56887649268853,R+1,0,ambiguous,7.655101194150824,1338,756
