rank_overall,layer,measurement,measurement_label,site,timepoint,days_from_launch,phase,value_raw,value_transformed,z_score,z_score_ci_low,z_score_ci_high,z_score_robust,deviation_flag,deviation_direction,fold_change
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,R+1,1,post-flight,0.0,0.0,-42.26991456584116,-109.60989264326416,-37.06017665371353,-42.908832022641214,extreme,down,0.0
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,FD2,2,in-flight,11.3406,2.5128946396615013,-20.126941222496654,-51.594412995567815,-17.544571817064558,-20.316593528264626,extreme,down,0.0939778625062255
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,FD3,3,in-flight,47.9191,3.8901679132662546,-7.990767702687262,-19.79715086089432,-6.848412680297515,-7.934185695439295,extreme,down,0.3970984419891426
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,R+45,45,post-flight,19.7309,3.0316253408453564,-15.556021332980016,-39.61841927017189,-13.5160131894312,-15.652932931225234,extreme,down,0.1635070284926798
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,R+82,82,post-flight,24.7667,3.2490829605854907,-13.639841401989528,-34.597950877605435,-11.82719706933378,-13.697875074820098,extreme,down,0.2052379527831803
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,L-92,-92,pre-flight,40.7429,3.731529376954804,1.0259955566319972,0.5773502691896302,3.1936440352757782,0.7940001192470312,elevated,up,1.0917955909675576
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,L-44,-44,pre-flight,34.1634,3.5600057689381153,-0.971800392005752,-2.6260507766601457,-0.5773502691896258,-0.6744907594765952,stable,,0.9154834214663428
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,L-3,-3,pre-flight,37.0457,3.638788068723251,-0.0541951646262347,-1.154700538379246,1.1547005383792484,0.0,stable,,0.9927209875660996
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,R+1,1,post-flight,0.0,0.0,-42.43644298289384,-79.4224190977011,-36.526400888735736,-31.153303911427447,extreme,down,0.0
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,FD2,2,in-flight,0.0,0.0,-42.43644298289384,-79.4224190977011,-36.526400888735736,-31.153303911427447,extreme,down,0.0
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,FD3,3,in-flight,0.0,0.0,-42.43644298289384,-79.4224190977011,-36.526400888735736,-31.153303911427447,extreme,down,0.0
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,R+45,45,post-flight,0.0,0.0,-42.43644298289384,-79.4224190977011,-36.526400888735736,-31.153303911427447,extreme,down,0.0
84,microbial,K03427,type I restriction enzyme M protein [EC:2.1.1.72],NAC,R+82,82,post-flight,0.0,0.0,-42.43644298289384,-79.4224190977011,-36.526400888735736,-31.153303911427447,extreme,down,0.0
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,L-92,-92,pre-flight,108.957,4.700089380276631,1.065761059499769,0.5773502691896276,3.8860209062131945,1.0636237350681468,elevated,up,1.1526356935487228
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,L-44,-44,pre-flight,82.6287,4.4263867626116085,-0.9177376760268456,-2.253070409350896,-0.5773502691896221,-0.6744907594765952,stable,,0.8741135395755145
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,L-3,-3,pre-flight,92.0,4.532599493153256,-0.14802338347293,-1.1547005383792486,1.1547005383792517,0.0,stable,,0.9732507668757628
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,R+1,1,post-flight,0.0,0.0,-32.995372232438584,-73.3374485733464,-28.58850643641611,-28.783710379627152,extreme,down,0.0
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,FD2,2,in-flight,164.3901,5.1083069259009966,4.024077616620452,3.1606413447167623,10.542977430697048,3.6559585802012826,extreme,up,1.7390520749106884
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,FD3,3,in-flight,117.9799,4.778954571282015,1.6372901444999508,1.0764266716562243,5.172105136167033,1.5644473397925376,elevated,up,1.2480872625100632
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,R+45,45,post-flight,11.9963,2.564664701566276,-14.409473288525993,-31.514499997992463,-12.358739964369176,-12.497125583805978,extreme,down,0.1269066105942577
86,microbial,K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7],ORC,R+82,82,post-flight,0.0,0.0,-32.995372232438584,-73.3374485733464,-28.58850643641611,-28.783710379627152,extreme,down,0.0
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,L-92,-92,pre-flight,183.306,5.216597419761698,1.0494195051313515,0.5773502691896224,3.556416681061647,0.9352701075777354,elevated,up,1.1674359093569506
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,L-44,-44,pre-flight,153.18099999999998,5.038127236935624,-0.107529903235203,-1.1547005383792486,1.1547005383792517,0.0,stable,,0.9755763588273544
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,L-3,-3,pre-flight,134.5607,4.909419510490641,-0.9418896018961546,-2.4038073527463295,-0.5773502691896257,-0.6744907594765952,stable,,0.8569877318156951
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,R+1,1,post-flight,4.6873,1.7382356188236066,-21.499381442766865,-43.83008431076798,-18.45836141854449,-17.29302867176529,extreme,down,0.029852390745141
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,FD2,2,in-flight,228.209,5.434634251085362,2.4628633589310955,1.806770935116048,6.490590721773481,2.0778885968898826,high,up,1.453413316740534
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,FD3,3,in-flight,318.4381,5.766563514828436,4.6146254024615985,3.67838452440778,10.957442597738243,3.817358536872643,extreme,up,2.028062763070492
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,R+45,45,post-flight,17.0158,2.8912491506523215,-14.02486495847618,-28.31370410498893,-11.956988895758286,-11.250679900245583,extreme,down,0.1083699166772282
89,microbial,K14260,alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],ORC,R+82,82,post-flight,0.0,0.0,-32.76765404133022,-67.22193878980231,-28.259562339772597,-26.40222432825728,extreme,down,0.0
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,L-92,-92,pre-flight,100.043,4.615546168812862,1.1121513989322325,0.5773502691896236,5.660207586027595,1.7545229372693427,elevated,up,1.1964576157673172
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,L-44,-44,pre-flight,71.94900000000001,4.289760566855648,-0.8250356395869647,-1.8205523433533144,-0.5773502691896257,-0.6744907594765952,stable,,0.8604692881745122
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,L-3,-3,pre-flight,78.856,4.380225012727253,-0.2871157593452624,-1.154700538379254,1.1547005383792517,0.0,stable,,0.9430730960581706
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,R+1,1,post-flight,0.0,0.0,-26.332819036211443,-83.2873348845272,-23.384015786210433,-32.658369451640105,extreme,down,0.0
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,FD2,2,in-flight,52.8303,3.9858365056578378,-2.632229537995761,-6.973692857023506,-2.1931734132290495,-2.94050774422071,high,down,0.6318204649827784
